"","date","X","PM25","PM10","CO","NO2","SO2","O3","year","month","day","week","season","covid","city","region","avgtemp","maxtemp","mintemp","avgrh","minrh","avgws","maxws","maxwswd","extremews","extremewswd","daylight","precipitation","avgp","maxp","minp","avggt","maxgt","mingt"
"1",2014-01-01,2,127.7,533,5200,78.84,61.4,30,2014,1,1,1,"winter","1.pre","baoding","north",4.4,14.4,-1.6,32,16,2.5,6.6,14,8.6,14,8.4,0,101300,101530,101120,1,21.4,-6.7
"2",2014-01-02,3,305.5,463.4,5200,65.96,46.2,26.25,2014,1,2,1,"winter","1.pre","baoding","north",0.1,8,-5.7,53,28,1.1,3.4,11,4.8,11,6.2,0,101590,101840,101370,-0.8,15.1,-7.9
"3",2014-01-03,4,279.5,394.9,3330,65.04,48.6,12.5,2014,1,3,1,"winter","1.pre","baoding","north",-0.1,9.2,-7.4,56,21,1.8,6.1,4,9.2,4,7.6,0,101990,102310,101510,-1.9,16.2,-8.9
"4",2014-01-04,5,247.5,437,3870,77.92,56.6,17.5,2014,1,4,1,"winter","1.pre","baoding","north",-0.9,6.1,-6.2,66,42,1.6,4.4,2,6.8,2,6.8,0,102020,102380,101670,-1.9,14.8,-9.6
"5",2014-01-05,6,273.5,363.4,3060,56.76,47.8,10,2014,1,5,1,"winter","1.pre","baoding","north",-2.9,6.9,-9.1,67,28,1.2,4,2,5.7,3,7.2,0,102230,102430,101820,-3.2,15.3,-10.7
"6",2014-01-06,7,242.5,377.4,4140,65.04,47.8,63.75,2014,1,6,1,"winter","1.pre","baoding","north",-1.9,0.3,-4.8,87,51,1.3,2.3,6,3.6,5,2.2,0,102390,102630,102160,-1.5,8.7,-9.3
"7",2014-01-07,8,252.5,245,3240,54,39.8,46.25,2014,1,7,1,"winter","1.pre","baoding","north",-1,3.9,-3.3,75,49,1.7,4.4,3,6.5,3,0,0,102460,102820,102210,-1.7,10.7,-6.9
"8",2014-01-08,9,169.5,243,1710,46.44,41.4,48.75,2014,1,8,2,"winter","1.pre","baoding","north",-2.2,1,-5.4,40,25,2.1,3.8,5,5.6,5,7.2,0,103120,103400,102820,-2.9,11.8,-10.2
"9",2014-01-09,10,164.5,485.8,4600,73.32,64.6,55,2014,1,9,2,"winter","1.pre","baoding","north",-5.4,1.5,-11.4,43,19,1.2,4,11,4.6,11,7.4,0,103020,103300,102750,-6.8,11.5,-14.3
"10",2014-01-10,11,330.5,NA,5700,98.16,66.2,36.25,2014,1,10,2,"winter","1.pre","baoding","north",-4.6,3.7,-10.9,47,22,1,2.8,3,4,5,6.6,0,102900,103050,102700,-5.7,13.3,-14
"11",2014-01-11,12,490,416.6,4500,61.36,43.8,51.25,2014,1,11,2,"winter","1.pre","baoding","north",-3.9,5.1,-10.4,65,31,1.3,3.1,10,4.7,10,0,0,102860,103090,102510,-5.2,10.9,-12.3
"12",2014-01-12,13,243.5,400.5,1980,63.2,54.2,45,2014,1,12,2,"winter","1.pre","baoding","north",-3.5,3.6,-8.7,45,17,1.7,5.4,5,7.7,4,8.6,0,103390,103770,102810,-3.9,16.7,-12.7
"13",2014-01-13,14,293.5,421.5,2070,73.32,54.2,27.5,2014,1,13,2,"winter","1.pre","baoding","north",-3.4,4.1,-9.2,53,27,1.7,4,11,5.6,11,6.7,0,103020,103420,102670,-4.8,12.6,-13.2
